,id,location name,type,area,price,over-valued,under-valued,normal
3887,2692503,Alenquer,houses,170.0,130000,0.0,1.0,0.0
3888,2692504,Alenquer,houses,170.0,150000,0.0,0.0,1.0
3889,2692589,Alenquer,apartments,89.0,70900,0.0,0.0,1.0
3890,2692607,Alenquer,houses,150.0,159500,1.0,0.0,0.0
3891,2692621,Alenquer,apartments,60.0,55000,1.0,0.0,0.0
3892,2692624,Alenquer,houses,130.0,72500,0.0,1.0,0.0
3893,2692687,Alenquer,houses,54.0,69000,1.0,0.0,0.0
3894,2692691,Alenquer,houses,178.0,131500,0.0,1.0,0.0
3895,2692747,Alenquer,houses,200.0,199000,0.0,0.0,1.0
3896,2692770,Alenquer,apartments,99.0,85000,0.0,0.0,1.0
3897,2692885,Alenquer,apartments,79.0,55000,0.0,1.0,0.0
3899,2693171,Alenquer,houses,114.0,92500,0.0,1.0,0.0
3900,2693213,Alenquer,apartments,86.0,73500,0.0,0.0,1.0
3901,2693232,Alenquer,houses,108.0,75000,0.0,1.0,0.0
3902,2693312,Alenquer,houses,123.0,95000,0.0,1.0,0.0
3903,2693446,Alenquer,plots,798.0,66000,0.0,1.0,0.0
3904,2693459,Alenquer,houses,160.0,59000,0.0,1.0,0.0
3906,2693708,Alenquer,plots,730.0,66000,0.0,1.0,0.0
3907,2693739,Alenquer,houses,250.0,159900,0.0,1.0,0.0
3908,2693840,Alenquer,apartments,84.0,77000,1.0,0.0,0.0
3909,2693915,Alenquer,houses,264.0,62000,0.0,1.0,0.0
3910,2693932,Alenquer,plots,670.0,66000,0.0,1.0,0.0
3913,2694077,Alenquer,plots,499.0,66000,0.0,1.0,0.0
3914,2694149,Alenquer,houses,125.0,143000,1.0,0.0,0.0
3916,2694164,Alenquer,houses,285.0,54500,0.0,1.0,0.0
3917,2694238,Alenquer,plots,454.0,131500,0.0,0.0,1.0
3918,2694345,Alenquer,houses,128.0,59900,0.0,1.0,0.0
3919,2694347,Alenquer,houses,110.0,56000,0.0,1.0,0.0
3920,2694363,Alenquer,houses,100.0,59900,0.0,1.0,0.0
3921,2694514,Alenquer,houses,125.0,79000,0.0,1.0,0.0
3922,2694556,Alenquer,apartments,120.0,103000,0.0,0.0,1.0
3923,2694585,Alenquer,houses,246.0,59000,0.0,1.0,0.0
3927,2694755,Alenquer,apartments,64.0,63800,1.0,0.0,0.0
3928,2694786,Alenquer,houses,140.0,148000,1.0,0.0,0.0
3931,2694853,Alenquer,houses,134.0,130000,0.0,0.0,1.0
3932,2694864,Alenquer,houses,100.0,81500,0.0,1.0,0.0
3933,2694952,Alenquer,houses,297.0,149900,0.0,1.0,0.0
3935,2695099,Alenquer,houses,48.0,52000,1.0,0.0,0.0
3937,2695101,Alenquer,houses,152.0,50000,0.0,1.0,0.0
3939,2695103,Alenquer,houses,108.0,60000,0.0,1.0,0.0
3941,2695106,Alenquer,houses,269.0,85000,0.0,1.0,0.0
3942,2695222,Alenquer,apartments,87.0,53000,0.0,1.0,0.0
3943,2695337,Alenquer,houses,471.0,75000,0.0,1.0,0.0
3944,2695500,Alenquer,apartments,73.0,52800,0.0,0.0,1.0
3945,2695641,Alenquer,apartments,100.0,105250,1.0,0.0,0.0
3946,2695755,Alenquer,houses,116.0,99999,0.0,0.0,1.0
3947,2695789,Alenquer,houses,126.0,168500,1.0,0.0,0.0
3948,2695790,Alenquer,houses,110.0,99500,0.0,0.0,1.0
3949,2695791,Alenquer,houses,106.0,84900,0.0,1.0,0.0
3951,2695907,Alenquer,houses,56.0,56000,0.0,0.0,1.0
3952,2695934,Alenquer,plots,400.0,68000,0.0,1.0,0.0
3953,2696035,Alenquer,houses,478.0,179000,0.0,1.0,0.0
3954,2696097,Alenquer,houses,56.0,56000,0.0,0.0,1.0
3955,2696159,Alenquer,houses,150.0,125000,0.0,1.0,0.0
3957,2696297,Alenquer,houses,80.0,71150,0.0,0.0,1.0
3959,2696334,Alenquer,houses,174.0,179000,0.0,0.0,1.0
3961,2696590,Alenquer,plots,43200.0,58500,0.0,1.0,0.0
3962,2696681,Alenquer,houses,178.0,130500,0.0,1.0,0.0
3964,2697191,Alenquer,apartments,115.0,93600,0.0,0.0,1.0
3965,2697286,Alenquer,houses,167.0,130000,0.0,1.0,0.0
3966,2697292,Alenquer,houses,167.0,150000,0.0,0.0,1.0
3967,2697326,Alenquer,apartments,80.0,70000,0.0,0.0,1.0
3968,2697840,Alenquer,apartments,99.0,82000,0.0,0.0,1.0
3969,2698074,Alenquer,houses,395.0,175000,0.0,1.0,0.0
3970,2698186,Alenquer,houses,157.0,135000,0.0,1.0,0.0
3971,2698659,Alenquer,apartments,95.0,53000,0.0,1.0,0.0
3972,2700334,Alenquer,houses,54.0,110000,1.0,0.0,0.0
3973,2701177,Alenquer,apartments,105.0,87900,0.0,0.0,1.0
3974,2701250,Alenquer,apartments,72.0,80000,1.0,0.0,0.0
3975,2701969,Alenquer,houses,139.0,130900,0.0,0.0,1.0
3976,2702153,Alenquer,houses,126.0,140000,1.0,0.0,0.0
3977,2704564,Alenquer,houses,98.0,77100,0.0,1.0,0.0
3978,2704909,Alenquer,houses,150.0,149000,0.0,0.0,1.0
3979,2705102,Alenquer,houses,170.0,194900,1.0,0.0,0.0
3980,2705219,Alenquer,houses,350.0,131000,0.0,1.0,0.0
3981,2705347,Alenquer,houses,180.0,117987,0.0,1.0,0.0
3982,2705660,Alenquer,houses,200.0,75000,0.0,1.0,0.0
3983,2706502,Alenquer,apartments,80.0,71000,1.0,0.0,0.0
3984,2706504,Alenquer,houses,163.0,67000,0.0,1.0,0.0
3985,2706514,Alenquer,apartments,88.0,73500,0.0,0.0,1.0
3986,2706623,Alenquer,houses,131.0,90000,0.0,1.0,0.0
3987,2706789,Alenquer,houses,315.0,60000,0.0,1.0,0.0
3988,2706865,Alenquer,apartments,88.0,70900,0.0,0.0,1.0
3989,2706873,Alenquer,apartments,81.0,71000,0.0,0.0,1.0
3990,2707089,Alenquer,apartments,100.0,79800,0.0,0.0,1.0
3991,2707094,Alenquer,apartments,100.0,78200,0.0,0.0,1.0
3992,2707156,Alenquer,plots,335.0,61000,0.0,1.0,0.0
3994,2707364,Alenquer,houses,170.0,194900,1.0,0.0,0.0
3995,2707494,Alenquer,apartments,123.0,93600,0.0,0.0,1.0
3996,2707527,Alenquer,plots,1321.0,167000,0.0,1.0,0.0
3997,2707606,Alenquer,apartments,85.0,52000,0.0,1.0,0.0
3998,2707612,Alenquer,plots,180.0,90000,1.0,0.0,0.0
3999,2707772,Alenquer,houses,112.0,115600,0.0,0.0,1.0
4000,2707809,Alenquer,apartments,86.0,76000,1.0,0.0,0.0
4001,2707822,Alenquer,houses,155.0,158000,0.0,0.0,1.0
4002,2707828,Alenquer,apartments,79.0,55000,0.0,1.0,0.0
4003,2707834,Alenquer,houses,141.0,149800,1.0,0.0,0.0
4004,2707876,Alenquer,apartments,103.0,72500,0.0,1.0,0.0
4005,2707907,Alenquer,apartments,98.0,82000,0.0,0.0,1.0
4006,2708205,Alenquer,houses,123.0,57000,0.0,1.0,0.0
4007,2708485,Alenquer,houses,77.0,132000,1.0,0.0,0.0
4008,2708610,Alenquer,houses,115.0,148000,1.0,0.0,0.0
4009,2708694,Alenquer,houses,108.0,115000,1.0,0.0,0.0
4010,2708723,Alenquer,houses,94.0,79000,0.0,1.0,0.0
4012,2708866,Alenquer,houses,450.0,330000,0.0,1.0,0.0
4013,2708894,Alenquer,houses,190.0,195400,0.0,0.0,1.0
4014,2708976,Alenquer,apartments,107.0,71000,0.0,1.0,0.0
4015,2709400,Alenquer,apartments,95.0,59000,0.0,1.0,0.0
4017,2709464,Alenquer,houses,234.0,149000,0.0,1.0,0.0
4018,2709481,Alenquer,apartments,100.0,73500,0.0,0.0,1.0
4020,2709542,Alenquer,houses,95.0,72000,0.0,1.0,0.0
4021,2709600,Alenquer,houses,142.0,72000,0.0,1.0,0.0
4022,2709612,Alenquer,houses,234.0,157000,0.0,1.0,0.0
4023,2709618,Alenquer,apartments,95.0,59000,0.0,1.0,0.0
4024,2709621,Alenquer,houses,95.0,72000,0.0,1.0,0.0
4025,2709690,Alenquer,houses,264.0,62000,0.0,1.0,0.0
4026,2709982,Alenquer,houses,231.0,112000,0.0,1.0,0.0
4027,2710095,Alenquer,houses,180.0,163000,0.0,0.0,1.0
4028,2710173,Alenquer,apartments,79.0,55000,0.0,1.0,0.0
4029,2710177,Alenquer,houses,94.0,79000,0.0,1.0,0.0
4031,2710315,Alenquer,houses,335.0,195000,0.0,1.0,0.0
4032,2710573,Alenquer,plots,178.0,131500,1.0,0.0,0.0
4033,2710916,Alenquer,apartments,4300.0,180000,0.0,1.0,0.0
4034,2710929,Alenquer,apartments,108.0,85000,0.0,0.0,1.0
4035,2710942,Alenquer,apartments,123.0,110000,1.0,0.0,0.0
4036,2710984,Alenquer,plots,235.0,97000,1.0,0.0,0.0
4037,2711000,Alenquer,apartments,92.0,68000,0.0,0.0,1.0
4038,2711001,Alenquer,apartments,123.0,110000,1.0,0.0,0.0
4039,2711084,Alenquer,houses,116.0,75000,0.0,1.0,0.0
